product_name,review_text,sentiment
none,"Love Amazon, but these batteries lasted 3 weeks in my Roku controller, Family Dollar store brand lasted longer. I do have A LOT of them though. Well played planned obsolescence :l",Negative
none,"Some work, some don't.",Slightly Negative
none,I think it was recargable,Slightly Negative
none,Tried this out. Loved the box. The package of individuals of 4 each is nice but not convenient at times. We tried these on a high drain police radio and a low drain Samsung personal radio.STICKING WITH MAXELL. They out perform these and its noticeable for about 3 more. Better value.,Negative
none,ok,Slightly Positive
none,Pros: a lot of things for kids to do from apps to watching movie and playing games. Cons: like most androids it tends to freeze.,Slightly Negative
none,"I bought this tablet for my wife. She likes the size for reading books and for reading info on the web. The tablet's size is a little big for just holding it and for carrying it around. It also has to be charged often, and that's not even considering time reading books. Hard to find a case for this latest kindle.",Slightly Negative
none,Great tablet other than the photo image quality is fuzzy and not the best.,Slightly Positive
none,These were at a great price point didn't last anywhere near as long as I thought they would. For the little bit more I would get the Duracell or Enegizer ones.,Slightly Negative
none,Loved the price but I found myself replacing them more quickly in items like the wall clocks and the remote controls. I like having a box of replacement batteries on hand in the house so these are fine for emergencies but I might want to invest in a brand that lasts a bit longer for things like smoke detectors or flashlights.,Slightly Negative
none,"With alot of kids and toys in the house we have been running through hundreds of batteries. Yes hundreds, no typo. I have found these batteries to have the perfect balance of cost vs longevity. They dont last the longest but theyre priced just right to make it worth it. I would recommend to anyone that needs batteries in bulk.",Positive
none,sticking to longer life energizers,Negative
none,"AmazonBasics AA Alkaline batteries, are generic alkaline batteries as good as Duracel Rayovac.",Slightly Positive
none,Can not tell the difference between these batteries and the name brands,Positive
none,They're just batteries like advertised,Slightly Positive
none,I don't feel like they last as long as the name brand batteries.,Slightly Negative
none,Must visually confirm that connector is fully extended by looking at slide groove. Mine seemed DOA until I realized that it wasn't making electrical connection.,Slightly Negative
none,Nice tablet but as usual with these items no instructions on how to get started,Slightly Negative
none,Thought it was to be better than what it is. Mother in law can play games an Facebook on it. Next time I will buy her a samsung,Slightly Negative
none,The tablet works fine. But speakers are not that great If you want a good cheap tablet that works this is it.,Slightly Positive
none,Average at best,Slightly Negative
none,"I didn't need a super expensive tablet, I just needed a basic one for couple different apps I needed. This one works perfect. Need a basic tablet for Netflix or Hulu or Amazon this works great. But don't expect it to be Ipad.",Positive
none,The screen size could be bigger like the earlier versions of kindle.,Slightly Negative
none,"These batteries are fairly priced for their quality. Which is to say, they need replacing 4 or 5 times more often than a name brand battery.",Slightly Negative
none,I'm kind of between a 6 and a 6 1/2 so some shoes are too tight and some are a little loose. These pads help with the 6 1/2 for the ones that are a little loose. Adds a bit more comfort for long wear.,Positive
none,Good price. Have used in my TV remote and had to change batteries after2 months. Other brand of batteries have lasted longer. Get what you pay for.,Slightly Negative
