ID,Rating,Label
1,Negative,Negative
2,Slightly Negative,Negative
3,Positive,Slightly Positive
4,Slightly Negative,Negative
5,Slightly Negative,Slightly Positive
6,Positive,Positive
7,Negative,Negative
8,Slightly Positive,Slightly Positive
9,Slightly Negative,Slightly Negative
10,Slightly Negative,Negative
11,Slightly Negative,Negative
12,Slightly Negative,Negative
13,Slightly Positive,Slightly Positive
14,Slightly Positive,Slightly Positive
15,Slightly Positive,Slightly Positive
16,Negative,Negative
17,Slightly Negative,Negative
18,Slightly Positive,Slightly Negative
19,Negative,Negative
20,Slightly Positive,Positive
21,Slightly Negative,Negative
22,Positive,Slightly Positive
23,Slightly Negative,Slightly Negative
24,Slightly Positive,Slightly Positive
25,Negative,Negative
26,Negative,Negative
27,Negative,Negative
28,Slightly Negative,Negative
29,Slightly Negative,Negative
