ID,prompt,completion
none,I was really excited to find a great deal on batteries. I would have to say if you just used these batteries for remote controls. And basic stuff then this would be the battery pick hands down. I could not believe how many batteries I went through for a child's toy. These batteries don't hold there ground against brand name. I burnt through 24 amazon batteries in one month on my son's hot wheel course. Just basic use maybe an hour a day at most. Brand name has lasted 2 months.,Negative
none,"This looked easy, but hard to setup if no experience with other than Apple products",Slightly Negative
none,"Serves the purpose for which it was bought, ; I.e. Facebook",Positive
none,These batteries don't seem to last as long as other brands.,Slightly Negative
none,Good kids tablet for games and videos but the charger is pretty annoying.,Slightly Negative
none,"This spray smells amazing, it does claim to be completely natural so I am wondering if it really is since the smell is very well... processed in my opinion, that being said, it does look completely natural it's completely transparent and once you apply it it doesn't feel as sticky as other products I've used before it really gives the hair a very natural look and for having just applied it a few minutes ago my hair feels extremely soft to the touch which gives me a pretty good idea that this is a good hair spray. The presentation is really pretty and looks cute and clean as well. I love it! I just hope it works well in the long run! The only problem I had (completely unrelated to the spray itself) is that they left it at my neighbors door instead.",Positive
none,"Avid fan of Allure Mag, been reading for at Least 10 yrs so readily excitedly joined<br /><br />PROS::::<br />cheap convenient way to try new Beauty/skin products<br />Fast delivery<br /><br />CONS:::<br />None of products I received were What was depicted in the graphic. I contacted seller, asking if what was sent monthly was same as shown in graphic and received a puzzling reply ((smh))<br />scented sample was strong & harsh<br />No lipstick Was hoping for at least tube of lipstick, gloss, etc<br />Received a notice that price increases with Ictober shipment. MAIN reason I subscribed was because of low cost to try new Skin products. Am going to wait for next shipment before I decide to continue or unsubscribe",Negative
none,Its a battery nothing much to say. I usually buy at costco but the convenience of the free delivery was the decision breaker this time.,Slightly Positive
none,"I was hoping he would not want to put it down, like the other tablet he had (sprout chubby )But he stills wants my phone.",Slightly Negative
none,Prob good for price but to many bugs. Freezes up often and games don't always load,Slightly Negative
none,"So at first I was happy, but my computer mouse started flashing red (low battery) about a week of having the new battery. Not impressed with battery life, but it works short term.",Slightly Negative
none,"not sure this really is worth it, maybe if they would allow you to have a collection to pick from....",Slightly Negative
none,At this price point it is very good. But having being used ipad the display doesnt look sharp. Amazon app store lacks content. Overall good for my 9 yr old.,Slightly Positive
none,"My 7-year old daughter saved up to by this. Her brother bought the 8GB about a year earlier, so new she needed more space. The OS is a bit clunky, and less intuitive then on higher priced tablets, but tough to beat the price. Speed isn't great for web or certain gaming apps, but fine for books. Parental controls are helpful, but take time to figure out and require more steps than seem necessary to change. Overall, OK first tablet for kids, considering the price. For adults, fine for e-books and VERY basic apps. Otherwise, best to pay up for better quality and OS efficiency.",Slightly Positive
