ID,Rating,Label
1,5,Positive
2,2,Negative
3,3,Slightly Negative
4,1,Negative
5,1,Negative
6,1,Negative
7,5,Positive
8,4,Positive
9,3,Slightly Negative
10,2,Slightly Negative
11,5,Slightly Positive
12,5,Slightly Negative
13,3,Slightly Negative
14,5,Positive
15,4,Positive
16,2,Negative
17,1,Negative
18,5,Positive
19,5,Positive
20,5,Positive
21,1,Negative
22,1,Negative
23,1,Negative
24,5,Positive
25,4,Positive
26,5,Positive
27,4,Positive
28,1,Negative
29,2,Slightly Negative
30,5,Positive
31,5,Neutral
32,5,Positive
33,5,Positive
34,5,Positive
35,5,Positive
36,1,Negative
37,4,Slightly Negative
38,5,Positive
39,5,Positive
40,5,Positive
41,5,Positive
42,1,Negative
43,5,Positive
44,5,Positive
45,3,Slightly Negative
46,3,Negative
47,5,Positive
48,5,Positive
49,5,Positive
50,1,Negative
51,1,Negative
52,5,Positive
53,1,Negative
54,1,Negative
55,4,Positive
56,1,Negative
57,2,Negative
58,1,Negative
59,1,Negative
60,1,Negative
61,1,Negative
62,1,Negative
63,4,Positive
64,2,Negative
65,2,Negative
66,2,Negative
67,3,Negative
68,4,Positive
69,1,Slightly Negative
70,1,Negative
71,4,Slightly Positive
72,3,Slightly Negative
73,3,Slightly Negative
74,1,Negative
75,2,Negative
76,5,Positive
77,1,Negative
78,3,Slightly Negative
79,5,Positive
80,1,Negative
81,3,Slightly Negative
82,5,Positive
83,5,Positive
84,1,Negative
85,4,Positive
86,3,Slightly Positive
87,3,Slightly Negative
88,4,Positive
89,4,Positive
90,5,Negative
91,4,Positive
92,4,Positive
93,3,Positive
94,1,Negative
95,1,Negative
96,5,Positive
97,5,Positive
98,4,Positive
99,4,Positive
100,4,Positive
101,5,Positive
102,1,Negative
103,3,Positive
104,4,Slightly Positive
105,4,Positive
106,4,Positive
107,5,Positive
108,1,Negative
109,2,Negative
110,2,Slightly Negative
111,2,Negative
112,4,Positive
113,5,Positive
114,5,Positive
115,5,Slightly Positive
116,5,Positive
117,3,Positive
118,1,Negative
119,2,Negative
120,2,Negative
121,5,Positive
122,5,Positive
123,1,Negative
124,4,Slightly Negative
125,3,Slightly Positive
126,3,Slightly Negative
127,2,Negative
128,1,Negative
129,2,Negative
130,1,Negative
131,5,Positive
132,1,Negative
133,4,Positive
134,1,Negative
135,3,Negative
136,1,Negative
137,3,Negative
138,5,Positive
139,4,Slightly Negative
140,3,Negative
141,2,Negative
142,3,Negative
143,3,Negative
144,1,Negative
145,5,Positive
146,3,Negative
147,2,Negative
148,3,Slightly Negative
149,1,Negative
150,5,Positive
151,1,Negative
152,1,Negative
153,2,Slightly Negative
154,2,Negative
155,1,Negative
156,2,Negative
157,2,Negative
158,2,Positive
159,5,Positive
160,5,Positive
161,3,Slightly Negative
162,3,Slightly Positive
163,4,Positive
164,2,Negative
165,4,Slightly Positive
166,1,Negative
167,4,Slightly Positive
168,5,Positive
169,2,Positive
170,2,Negative
171,4,Positive
172,1,Negative
173,1,Negative
174,2,Positive
175,4,Positive
176,4,Positive
177,4,Positive
178,4,Positive
179,4,Slightly Positive
180,4,Positive
181,3,Slightly Negative
182,3,Slightly Positive
183,3,Slightly Positive
184,4,Slightly Negative
185,2,Slightly Negative
186,2,Slightly Negative
187,5,Positive
188,3,Slightly Negative
189,4,Positive
190,3,Slightly Positive
191,5,Positive
192,3,Slightly Positive
193,4,Positive
194,4,Positive
195,4,Positive
196,3,Slightly Negative
197,3,Negative
198,4,Positive
199,4,Positive
200,5,Positive
201,4,Positive
202,2,Negative
203,2,Slightly Negative
204,4,Positive
205,4,Positive
206,4,Positive
207,4,Positive
208,4,Positive
209,4,Positive
210,5,Positive
211,3,Positive
212,3,Slightly Positive
213,5,Positive
214,5,Positive
215,4,Slightly Positive
216,5,Positive
217,4,Positive
218,5,Positive
219,1,Slightly Negative
220,2,Slightly Negative
221,5,Positive
222,3,Positive
223,4,Positive
224,5,Positive
225,3,Slightly Negative
226,4,Positive
227,4,Positive
228,4,Slightly Negative
229,4,Positive
230,3,Slightly Negative
231,1,Negative
232,2,Negative
233,2,Negative
234,2,Negative
235,4,Negative
236,3,Slightly Negative
237,5,Slightly Positive
